type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,Cal_Capacity
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01],24,5,0,5121,05121.csv,,,,1.3474672421577947
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],24,5,1,5122,05122.csv,1.8564874208181574,,,1.8508261437461926
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.6000e+01 3.7000e+01 5.1984e+01],24,5,2,5123,05123.csv,,,,2.750990572104019
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],24,5,3,5124,05124.csv,1.846327249719927,,,1.840846744020408
charge,[2.0080e+03 4.0000e+00 2.0000e+00 2.0000e+01 5.5000e+01 4.0812e+01],24,5,4,5125,05125.csv,,,,2.7467014155122738
discharge,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],24,5,5,5126,05126.csv,1.8353491942234077,,,1.8294471725145296
charge,[2.0080e+03 4.0000e+00 3.0000e+00 1.0000e+00 1.2000e+01 3.8671e+01],24,5,6,5127,05127.csv,,,,2.728681483214243
discharge,[2008.       4.       3.       4.      16.      37.375],24,5,7,5128,05128.csv,1.8352625275821128,,,1.8287571619561858
charge,[2008.       4.       3.       5.      27.      49.125],24,5,8,5129,05129.csv,,,,2.741465752684098
discharge,[2008.       4.       3.       8.      33.      25.703],24,5,9,5130,05130.csv,1.8346455082120419,,,1.8275666295189001
charge,[2008.       4.       3.       9.      44.      35.078],24,5,10,5131,05131.csv,,,,2.774953049421102
discharge,[2008.       4.       3.      12.      55.      10.687],24,5,11,5132,05132.csv,1.8356616600675495,,,1.8298500104743587
charge,[2008.       4.       3.      14.       6.      43.234],24,5,12,5133,05133.csv,,,,2.7728548753968254
discharge,[2008.       4.       3.      17.      17.      16.015],24,5,13,5134,05134.csv,1.8351461429226603,,,1.8290856304387464
charge,[2008.       4.       3.      18.      28.      47.125],24,5,14,5135,05135.csv,,,,2.6947357035960144
discharge,[2008.       4.       3.      21.      28.      14.718],24,5,15,5136,05136.csv,1.8257567905665537,,,1.8168739487440373
charge,[2008.       4.       3.      22.      38.      27.453],24,5,16,5137,05137.csv,,,,2.6898288607374217
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],24,5,17,5138,05138.csv,1.8247738529891333,,,1.8152463734269009
charge,[2.008e+03 4.000e+00 4.000e+00 2.000e+00 4.800e+01 6.156e+00],24,5,18,5139,05139.csv,,,,2.69046005401134
discharge,[2008.       4.       4.       5.      48.       8.609],24,5,19,5140,05140.csv,1.824613268496936,,,1.8155724089912282
charge,[2.008e+03 4.000e+00 4.000e+00 6.000e+00 5.800e+01 2.960e-01],24,5,20,5141,05141.csv,,,,2.6826059816576087
discharge,[2008.       4.       4.       9.      57.      19.765],24,5,21,5142,05142.csv,1.8246195526864504,,,1.8144135992063493
charge,[2008.       4.       4.      11.       6.      50.375],24,5,22,5143,05143.csv,,,,2.6733186621257765
charge,[2008.       4.       4.      15.       5.      59.906],24,5,23,5144,05144.csv,,,,2.505757132571535
discharge,[2008.       4.       4.      17.      56.      27.609],24,5,24,5145,05145.csv,1.8142019357673917,,,1.803056869818182
charge,[2008.       4.       4.      19.       5.      19.234],24,5,25,5146,05146.csv,,,,2.6524073439062503
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 2.2000e+01 1.0000e+00 5.4671e+01],24,5,26,5147,05147.csv,1.8137521577549054,,,1.8019672492927121
charge,[2008.       4.       4.      23.      10.      25.421],24,5,27,5148,05148.csv,,,,2.7515904753379496
discharge,[2.0080e+03 4.0000e+00 5.0000e+00 2.0000e+00 2.0000e+01 2.6703e+01],24,5,28,5149,05149.csv,1.8134404914735822,,,1.8018213381123058
charge,[2008.       4.       5.       3.      28.      57.234],24,5,29,5150,05150.csv,,,,2.6485167128613245
discharge,[2.008e+03 4.000e+00 5.000e+00 6.000e+00 2.500e+01 1.890e+00],24,5,30,5151,05151.csv,1.8025980036306504,,,1.790920693172072
charge,[2008.       4.       5.       7.      33.      12.734],24,5,31,5152,05152.csv,,,,2.651598016958425
discharge,[2008.       4.       5.      10.      30.      32.312],24,5,32,5153,05153.csv,1.80210690024615,,,1.789750770696256
charge,[2008.      4.      5.     11.     38.     22.14],24,5,33,5154,05154.csv,,,,2.64179783615136
discharge,[2008.       4.       5.      14.      34.      41.468],24,5,34,5155,05155.csv,1.802579500826209,,,1.7890734234669097
charge,[2008.       4.       5.      15.      42.      11.531],24,5,35,5156,05156.csv,,,,2.649165045783133
discharge,[2008.       4.       5.      18.      39.      25.218],24,5,36,5157,05157.csv,1.8030683142834096,,,1.788842947247863
charge,[2008.       4.       5.      19.      46.      36.125],24,5,37,5158,05158.csv,,,,2.6703927968624965
