type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,Cal_Capacity,CE,Cycle
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],24,5,1,5122,05122.csv,1.8564874208181574,,,1.8508261437461926,72.80355568300074,1
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],24,5,3,5124,05124.csv,1.846327249719927,,,1.840846744020408,66.91577799964931,2
discharge,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],24,5,5,5126,05126.csv,1.8353491942234077,,,1.8294471725145296,66.6052437364521,3
discharge,[2008.       4.       3.       4.      16.      37.375],24,5,7,5128,05128.csv,1.8352625275821128,,,1.8287571619561858,67.01981060105285,4
discharge,[2008.       4.       3.       8.      33.      25.703],24,5,9,5130,05130.csv,1.8346455082120419,,,1.8275666295189001,66.66385045042335,5
discharge,[2008.       4.       3.      12.      55.      10.687],24,5,11,5132,05132.csv,1.8356616600675495,,,1.8298500104743587,65.94165659329241,6
discharge,[2008.       4.       3.      17.      17.      16.015],24,5,13,5134,05134.csv,1.8351461429226603,,,1.8290856304387464,65.96398703256997,7
discharge,[2008.       4.       3.      21.      28.      14.718],24,5,15,5136,05136.csv,1.8257567905665537,,,1.8168739487440373,67.42308517749971,8
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],24,5,17,5138,05138.csv,1.8247738529891333,,,1.8152463734269009,67.48557129129946,9
discharge,[2008.       4.       4.       5.      48.       8.609],24,5,19,5140,05140.csv,1.824613268496936,,,1.8155724089912282,67.48185710039817,10
discharge,[2008.       4.       4.       9.      57.      19.765],24,5,21,5142,05142.csv,1.8246195526864504,,,1.8144135992063493,67.63623176912493,11
discharge,[2008.       4.       4.      17.      56.      27.609],24,5,24,5145,05145.csv,1.8142019357673917,,,1.803056869818182,71.91308470679446,12
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 2.2000e+01 1.0000e+00 5.4671e+01],24,5,26,5147,05147.csv,1.8137521577549054,,,1.8019672492927121,67.93154687389492,13
discharge,[2.0080e+03 4.0000e+00 5.0000e+00 2.0000e+00 2.0000e+01 2.6703e+01],24,5,28,5149,05149.csv,1.8134404914735822,,,1.8018213381123058,65.08674561944439,14
discharge,[2.008e+03 4.000e+00 5.000e+00 6.000e+00 2.500e+01 1.890e+00],24,5,30,5151,05151.csv,1.8025980036306504,,,1.790920693172072,67.57558908369883,15
